f_wb	m_wb	f_go	m_go	f_re	m_re	f_tx	m_tx	f_dg	m_dg	f_hd	m_hd	f_ac	m_ac
FBgn0046160	3.34882654040408	4.14291715808423	1.16760349682412	0	0	1.48555617462459	11.2372800831085	4.61710823885722	7.27814876207336	9.80162819894933	26.1445526698472	27.3464337767095	0.623342033024948	0
FBgn0147654	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147655	0	0.515031544975769	0.255350394415921	0	0	0	0	0	0.568809520056981	0	0	0	0	0
FBgn0147656	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147657	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147658	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147666	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147669	0	0	0	0	0	0	0	0.883626995775144	0	0	0	0	0	0
FBgn0147670	0	3.04066509074508	0	21.924626161737	0	0	0	0	0	0	0	0	0	0
FBgn0147672	0	0	0.385024003378103	0	0	0	0	0	0	0	0	0	0	0
FBgn0147674	0	0	0	0.74552947780794	0	0	0	0	0	0	0	0	0	0
FBgn0147675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147676	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147677	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147687	1.19294172146939	1.55642703406635	0	2.98211791123176	0	0.651190523750557	0	0	22.4826478129595	26.0476577554277	0.347891086113917	0.443917846685171	0.983132581456733	0
FBgn0147688	0	0	0.152003754853174	0	0	0	0	0.569970849461387	0	0	0	0	0	0
FBgn0147694	0.346257116603869	2.92462649817901	0	2.28804999630874	0	0.651190523750557	0.472090683033909	6.94212216307025	0	0	6.75200941822907	7.11704650918445	0	0
FBgn0147712	1.39197378416418	15.6322647354977	0	0.714011036914998	0	47.2394171987004	7.39764374935812	9.92729644000798	0	0	48.6857297516319	71.1511142718391	0.43585209154181	0
FBgn0147740	0.347993446041045	10.7347584731959	0	23.7731267898503	0	0.651190523750557	0	0	0	0	31.6307519184409	38.5885850506847	0	0
FBgn0147746	19.0520580804371	112.607576493197	6.41158893008024	7.29770257361469	98.5466530018159	81.8194194252204	68.7907869899458	45.8370544934167	86.9277596381882	91.2249428224645	68.0105860764986	47.910284580379	231.614960142907	197.220149725756
FBgn0147803	0	5.72200899042866	0.277680540306912	50.9263258108381	0	0	2.5055196364872	3.76535631950373	0	0	0.971722322592668	0.665876770027757	0	0
FBgn0147850	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147858	0	1.94448514694459	0	1.52536666420583	3.95091363396682	0.651190523750557	0	0	5.19126460621787	3.6149194914524	0.91329686166445	1.09661122743656	1.9832388458789	0
FBgn0147861	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147863	0	0	0	0	0	0	0	0	0	0	0.347269792524701	0	0	0
FBgn0147867	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147871	0	0	0	0.714011036914998	0	0	0	0	0	0	0	0	0	0
FBgn0147872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147873	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147874	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147875	0	0.365393314600164	0	0	0	1.48555617462459	0	0	0	0	0.347269792524701	0.42650788321576	0	0
FBgn0147877	0	0	0	0	0	0	0	0.883626995775144	0	0	0	0	0	0
FBgn0147879	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147881	1.21710889642507	19.1361873037683	0.129673608962183	0.74552947780794	2.74213050138581	3.43912774587626	5.02241315914339	6.19864442037183	4.12148946483944	3.76381532570596	52.2239024714343	96.4376500331673	1.30329043945192	0
FBgn0147882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147884	0.346257116603869	1.2298936328761	0	13.1043461916135	0.381678409941313	0	0.872326513888854	0.666034109317814	2.0794710748781	1.6539424903302	5.90979940881207	4.28621170312284	0	0.708686989023986
FBgn0147885	1.04050767924878	6.08133018149017	0.125676785453738	27.7312697797358	1.14503522982394	4.68022779970089	1.59355473589719	5.31501742459669	16.9848559671944	9.77188477791573	17.1428746628085	12.4670911806583	0.983132581456733	3.14277537237447
FBgn0147886	0	0	0	0	0	0	0	0	0	0	0	0.42650788321576	0	0
FBgn0147887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147889	0	0	0	0	0	0	0	0	0	0	5.63794783876775	4.91997984050141	0	0
